"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"The Bath Song","U","U","17822","4.41","4242","5.37","16996","54.9%","2777","54.5%","5140","60.5%","7917","58.4%","9000","51.9%","6.5pp"
"Sauron's Ransom","UB","R","5190","3.73","1443","4.35","4323","55.0%","698","55.7%","1338","59.7%","2036","58.3%","2313","52.0%","6.3pp"
"Battle-Scarred Goblin","R","C","64496","5.98","11356","8.20","46880","58.6%","8392","59.3%","10919","57.6%","19311","58.3%","27588","58.7%","-0.4pp"
"Glóin, Dwarf Emissary","R","R","3623","2.62","1233","2.84","5824","57.3%","999","57.4%","1485","58.9%","2484","58.3%","3332","56.5%","1.7pp"
"Pippin, Guard of the Citadel","WU","R","3811","3.01","1159","3.15","3368","53.0%","573","58.8%","980","57.9%","1553","58.2%","1774","48.3%","9.9pp"
"Delighted Halfling","G","R","2919","2.06","1083","2.03","4493","53.0%","807","64.4%","1121","53.4%","1928","58.0%","2547","49.2%","8.9pp"
"Cirith Ungol Patrol","B","C","67203","6.27","11218","8.74","37237","57.5%","5726","55.8%","9729","59.3%","15455","58.0%","21816","57.1%","0.9pp"
"Samwise the Stouthearted","W","U","11131","2.65","3983","3.08","20118","55.2%","3515","57.5%","5164","58.2%","8679","57.9%","11297","53.0%","4.9pp"
"Mount Doom","","M","2077","3.07","420","3.72","1220","58.1%","230","54.8%","318","60.1%","548","57.8%","670","58.4%","-0.5pp"
"Haradrim Spearmaster","R","C","64034","5.92","10726","8.19","42184","58.2%","7332","57.6%","9778","58.0%","17110","57.8%","25073","58.4%","-0.6pp"
"Deceive the Messenger","U","C","69702","7.07","11347","9.55","27947","55.1%","4732","56.2%","8316","58.7%","13048","57.8%","14806","52.6%","5.2pp"
"Moria Marauder","R","R","3337","2.49","1453","2.59","7156","58.0%","1233","60.2%","1805","56.2%","3038","57.8%","4129","58.1%","-0.3pp"
"Pelargir Survivor","U","C","68400","6.82","10864","9.23","36465","55.5%","6471","57.8%","10719","57.7%","17190","57.8%","19236","53.4%","4.3pp"
"Reprieve","W","U","16966","4.05","4378","4.94","18977","56.1%","3381","57.8%","4876","57.7%","8257","57.7%","10711","54.8%","2.9pp"
"King of the Oathbreakers","WB","R","2803","2.15","1435","2.05","6177","54.8%","1004","56.5%","1603","58.5%","2607","57.7%","3507","52.5%","5.3pp"
